19/03/10 11:39
プロジェクトの翻訳状況

            	  分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	17315	115260	    686279	    769539	  117	
未翻訳：        	13993	 79374	    481165	    540909	  117	
繰り返しを除いた：   	12148	 98950	    585602	    657703	  117	
繰り返しを除いた未翻訳：	10248	 68271	    412864	    464090	  117	


ファイルごとの翻訳状況：

ファイル名                                           	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
Mojolicious-Command-psgi.txt                    	     34	    23	         11	             8	    217	   135	         78	            31	          1286	          764	               517	                  214	          1463	          898	               576	                  248	
Mojolicious-Command-routes.txt                  	     37	    26	         14	            11	    233	   155	         94	            51	          1409	          906	               640	                  356	          1599	         1053	               712	                  403	
Mojolicious-Command-version.txt                 	     30	    19	         11	             8	    182	   100	         77	            30	          1089	          554	               515	                  199	          1232	          651	               580	                  236	
Mojolicious-Command.txt                         	    105	    84	         80	            69	    599	   387	        529	           355	          3899	         2708	              3476	                 2522	          4325	         2988	              3862	                 2781	
Mojolicious-Commands.txt                        	    120	    96	         93	            76	    726	   449	        633	           376	          4709	         2928	              4140	                 2495	          5228	         3282	              4596	                 2794	
Mojolicious-Controller.txt                      	    398	   349	        320	           287	   2657	  1958	       2344	          1721	         15613	        11714	             13865	                10329	         17650	        13251	             15668	                11690	
Mojolicious-Guides-Contributing.txt             	    142	   107	        133	           101	   2254	  1480	       2240	          1471	         11811	         7638	             11751	                 7605	         13678	         8922	             13613	                 8886	
Mojolicious-Guides-Cookbook.txt                 	   1137	   927	        731	           617	   7957	  5091	       6871	          4275	         47251	        31456	             40478	                26282	         53534	        35693	             46013	                29908	
Mojolicious-Guides-FAQ.txt                      	    127	    82	        104	            66	   2064	  1024	       1975	           989	         11406	         5504	             10855	                 5283	         13028	         6388	             12428	                 6146	
Mojolicious-Guides-Growing.txt                  	    517	   452	        331	           298	   3097	  2228	       2536	          1814	         18588	        13808	             14813	                10885	         22033	        16606	             17642	                13159	
Mojolicious-Guides-Rendering.txt                	    976	   763	        581	           510	   5961	  3950	       4986	          3319	         36161	        24542	             30056	                20496	         41107	        28154	             34292	                23554	
Mojolicious-Guides-Routing.txt                  	    669	   590	        501	           448	   5076	  3843	       4611	          3527	         30715	        23699	             27718	                21545	         34959	        27056	             31613	                24650	
Mojolicious-Guides-Testing.txt                  	    409	   332	        333	           264	   3800	  2155	       3526	          1976	         21166	        12634	             19453	                11486	         23901	        14134	             22079	                12933	
Mojolicious-Guides-Tutorial.txt                 	    641	   245	        354	           162	   3657	   796	       2975	           632	         21894	         5521	             17625	                 4348	         24634	         6209	             19917	                 4894	
Mojolicious-Guides.txt                          	    253	    86	        185	            25	   1646	   304	       1495	           209	          9734	         1614	              9024	                 1246	         10677	         1818	              9904	                 1416	
Mojolicious-Lite.txt                            	    190	   130	        113	            87	   1091	   559	        843	           473	          6808	         3555	              5212	                 2987	          7755	         4197	              6013	                 3563	
Mojolicious-Plugin-Config.txt                   	     74	    57	         51	            42	    425	   265	        384	           244	          2691	         1728	              2386	                 1561	          3007	         1940	              2684	                 1763	
Mojolicious-Plugin-DefaultHelpers.txt           	    278	   230	        214	           175	   1707	  1050	       1535	           915	         10496	         6766	              9340	                 5841	         11631	         7473	             10391	                 6482	
Mojolicious-Plugin-EPLRenderer.txt              	     20	     9	          6	             3	    130	    52	         56	            13	           804	          322	               377	                  111	           885	          359	               410	                  118	
Mojolicious-Plugin-EPRenderer.txt               	     36	    22	         15	            10	    203	   103	        109	            50	          1402	          746	               826	                  430	          1547	          834	               909	                  478	
Mojolicious-Plugin-HeaderCondition.txt          	     32	    21	         17	            14	    186	   117	        112	            78	          1248	          790	               818	                  576	          1382	          886	               904	                  642	
Mojolicious-Plugin-JSONConfig.txt               	     67	    50	         26	            19	    385	   212	        226	           120	          2458	         1396	              1464	                  801	          2734	         1563	              1628	                  899	
Mojolicious-Plugin-Mount.txt                    	     32	    21	         19	            16	    213	   127	        151	           100	          1374	          851	              1016	                  709	          1523	          950	              1125	                  786	
Mojolicious-Plugin-TagHelpers.txt               	    426	   399	        320	           302	   2324	  2041	       1900	          1658	         14797	        13001	             12171	                10634	         16356	        14371	             13483	                11779	
Mojolicious-Plugin.txt                          	     25	    14	          9	             6	    121	    46	         69	            29	           757	          321	               417	                  197	           831	          350	               465	                  218	
Mojolicious-Plugins.txt                         	     74	    52	         59	            44	    389	   259	        351	           241	          2943	         2043	              2669	                 1905	          3172	         2212	              2883	                 2067	
Mojolicious-Renderer.txt                        	    136	   114	        105	            90	    900	   595	        838	           553	          5797	         4072	              5342	                 3753	          6485	         4550	              5988	                 4197	
Mojolicious-Routes-Match.txt                    	     56	    42	         43	            36	    286	   183	        255	           172	          1897	         1264	              1691	                 1194	          2079	         1388	              1859	                 1312	
Mojolicious-Routes-Pattern.txt                  	     96	    85	         80	            76	    471	   401	        420	           370	          3335	         2886	              3031	                 2718	          3676	         3192	              3343	                 3003	
Mojolicious-Routes-Route.txt                    	    273	   236	        225	           205	   1951	  1420	       1755	          1356	         11489	         8330	             10186	                 7919	         13128	         9639	             11730	                 9186	
Mojolicious-Routes.txt                          	     96	    78	         75	            64	    498	   344	        454	           320	          3127	         2193	              2826	                 2028	          3515	         2488	              3194	                 2311	
Mojolicious-Sessions.txt                        	     76	    62	         52	            45	    442	   308	        360	           246	          2940	         2102	              2420	                 1718	          3259	         2336	              2681	                 1902	
Mojolicious-Static.txt                          	     74	    55	         55	            43	    572	   316	        522	           286	          3507	         2109	              3182	                 1920	          3876	         2312	              3528	                 2108	
Mojolicious-Types.txt                           	     76	    65	         61	            57	    376	   288	        338	           270	          2218	         1697	              1968	                 1583	          2587	         2010	              2319	                 1886	
Mojolicious-Validator-Validation.txt            	    112	    89	         95	            80	    672	   428	        614	           406	          3991	         2549	              3643	                 2415	          4477	         2871	              4092	                 2721	
Mojolicious-Validator.txt                       	     77	    61	         47	            38	    378	   243	        301	           186	          2253	         1443	              1734	                 1060	          2501	         1608	              1945	                 1196	
Mojolicious.txt                                 	    559	   499	        447	           399	   3083	  2262	       2822	          2042	         18405	        13728	             16736	                12288	         20658	        15403	             18782	                13783	
Test-Mojo.txt                                   	    423	   365	        367	           318	   2611	  1895	       2443	          1750	         16695	        12768	             15598	                11820	         18477	        14063	             17289	                13035	
